name,method,ingredients,category
Pork stew with tomato and turmeric,"Place a ,pot, over high heat.,Cut, the pork belly into 2 cm small pieces and spread 2 tablespoons olive oil, salt, and pepper.,Transfer them to the pot and sauté for 5-6 minutes, until they are nicely golden brown. Remove, put them on a plate, and set it aside. ,Clean the pot, put it back on heat, and add 2 tablespoons olive oil. ,Coarsely chop the onion and the garlic, and add them to the pot.,Add the ginger finely chopped, the flour, and mix. Then, add the pork, deglaze with the wine, and stir.,Add the tomato paste, the water, and stir. ,Lower the heat to medium and add the tomatoes cut into pieces, the turmeric, the cumin, the coriander, the rosemary, and cover with the lid. Simmer for 2 to 2 ½ hours. ,Serve with basmati rice, rosemary, salt, and pepper. "," 1 1/2 kilo pork belly, boneless, skin off , 4 tablespoon(s) olive oil , salt , pepper , 1 onion , 2 clove(s) of garlic , 10 g ginger , 1 tablespoon(s) all-purpose flour , 50 g red wine , 1 tablespoon(s) tomato paste , 500 g water , 400 g tomatoes , 1 tablespoon(s) turmeric , 1 teaspoon(s) cumin, seeds , 1 teaspoon(s) coriander, seeds  , 3 sprig(s) rosemary , 500 g basmati rice , rosemary , salt , pepper ",Meats
Pork meatballs and green beans,"Place a ,frying pan, over high heat and add the seed oil. ,In a bowl add the ground pork, the cumin, the paprika, the dried breadcrumbs, the olive oil, salt, pepper, the egg, the oregano, and mix well. ,Shape about 25 meatballs and put them into a ,baking pan,. Add the flour, salt, and toss to coat. ,Add the meatballs to the pan in two batches and fry them for about 2-3 minutes, until they are golden brown. Remove and transfer to paper towels. ,Place a ,pot, over high heat and add the olive oil. ,Coarsely chop the onion, cut the garlic into slices, and add them to the pot. Add the thyme, salt, pepper, and sauté. ,Cut, the peppers into thin strips and add them to the pot. Add paprika, the tomato paste, and sauté. ,Add the green beans, deglaze the pot with the wine, add the canned tomatoes, the water, the sugar, the meatballs, and cover with the lid. Simmer over medium heat for 20-25 minutes. ,Serve with mint, olive oil, pepper, and feta cheese. "," 500 g ground pork , 1 teaspoon(s) cumin , 1 tablespoon(s) paprika , 1 clove(s) of garlic , 50 g dry breadcrumbs , 1-2 tablespoon(s) olive oil , salt , pepper , 1 egg, medium , 1 teaspoon(s) oregano , 50 g all-purpose flour , 400 ml seed oil , 2 tablespoon(s) olive oil , 1 onion , 1 clove(s) of garlic , 1 tablespoon(s) thyme , salt , pepper , 1 red bell pepper , 1 yellow bell pepper , 1 tablespoon(s) paprika , 1 tablespoon(s) tomato paste , 500 g green beans , 50 g red wine , 400 g canned tomatoes , 400 g water , 1 pinch granulated sugar , mint , olive oil , pepper , feta cheese ",Meats
Korean-style pork shoulder,"Preheat the oven to 160,ο, C (320,ο, F) set to fan.,Put the pork into a baking pan, add the sugar, the salt, and spread them over its whole surface. Cover with plastic wrap and refrigerate it for 8-12 hours. Do not leave it for longer, as it will become salty. ,Rinse the meat very well and transfer it to a baking pan with a rack. Then, using a knife, prick holes in 10 to 15 spots. ,Cut the garlic and the ginger into slices, and divide them among the holes. ,Spread the olive oil, the rosemary, and wrap well with aluminum foil. ,Bake for 4 hours. ,Increase the oven’s temperature to 200,ο, C (390,ο, F).,In a frying pan over high heat add the sweet chili sauce, the balsamic vinegar, and simmer for 2-3 minutes until the glaze sets and thickens. ,Remove the pork and pour the glaze over it. Bake for 30-50 minutes until it is caramelized.,Add the noodles into a bowl along with the peas, the leek cut into thin strips, the green part of the spring onions into small pieces, add some boiling water, and cover with plastic wrap. Leave the noodles according to the packet’s instructions. ,Drain, add the soy sauce, mix, and serve. "," 3 kilos pork shoulder , 4 tablespoon(s) brown sugar , 4 tablespoon(s) salt, coarse , 4 clove(s) of garlic , 20 g ginger , 2 tablespoon(s) olive oil , 3-4 sprig(s) rosemary , 70 g ,sweet chili sauce, , 70 g balsamic vinegar, with honey , 300 g noodles , 50 g peas, frozen  , 50 g leek , 3 spring onions , 2 tablespoon(s) soy sauce ",Meats
Smoked steak with hollandaise sauce ,"In a ,pot, with boiling water over medium heat, place a metal or glass bowl to create a bain-marie. ,In the bowl add the yolks, the vinegar, the water, and whisk well.,Add the mustard and whisk constantly until the mixture thickens and turns fluffy. ,When your mixture starts getting hot, remove it from the heat, and add the butter very slowly by constantly whisking.,Add salt, pepper, and mix. Cover with plastic wrap and set aside. The moment you want to use it, whisk it well. If your sauce is too thick, thin it with a little water.,Place a ,frying pan, over high heat.,Add olive oil, salt and pepper to your steaks, and transfer them to the hot pan. Sauté for 1 minute on each side until golden brown. Remove and set aside.,Line a pot with aluminum foil and make sure there are no gaps.,In the pot add the sugar, the cloves, the cinnamon, the pepper, the rosemary, and the oregano. Cover the ingredients with aluminum foil and prick its surface to allow the steam to escape.,Place a steaming basket into the pot and add the steaks. ,Cover the lid with aluminum foil and seal the pot well. Transfer over high heat. As soon as steam starts coming out of the pot, simmer at low heat for 8-10 minutes.,Place a frying pan over high heat and add the green beans.  Sauté for 1-2 minutes until they are golden.,Serve the steaks with the sauce, the green beans, mashed potatoes, pepper, and thyme."," 2 egg yolks, from medium eggs , 1 tablespoon(s) vinegar, white wine , 1 tablespoon(s) water , 1 teaspoon(s) mustard , 100 g butter, melted , salt , pepper , 600 g beef steaks, ribeye , 2 tablespoon(s) olive oil , salt , pepper , 300 g brown sugar , 4-5 cloves , 2 stick(s) cinnamon , 1 tablespoon(s) pepper , 4-5 sprig(s) rosemary , 4-5 sprig(s) oregano , 400 g green beans, boiled , 500 g ,mashed potatoes, , pepper , thyme ",Meats
Roast chicken with saffron ,"Preheat the oven to 200° C (390° F) set to fan. ,In a ,baking pan, add the chicken, the vegetable bouillon powder, olive oil, and set it aside. ,Place a ,pot, over medium heat and add the butter, the flour, and whisk well. Add the milk in batches and whisk until the bechamel sauce thickens and comes to a boil.,Add the garlic grated, the saffron, the vegetable bouillon powder, and whisk. ,Spread the whole bechamel sauce over the chicken. ,In a mixer add the almonds, the bread, the rest of the garlic, the vegetable bouillon powder, the tarragon, the butter, and beat well.,Spread on top of the bechamel sauce and roast for 30 minutes. ,In a bowl add the lentils, the rice, the cherry tomatoes cut in half, olive oil, salt, pepper, white vinegar, mint, basil, mix, and serve."," 800 g chicken breast fillet , 1 tablespoon(s) vegetable bouillon powder , 1 tablespoon(s) olive oil , 50 g butter , 50 g all-purpose flour , 500 g milk , 1/3 clove(s) of garlic , 1/2 teaspoon(s) saffron , 1 level teaspoon(s) vegetable bouillon powder , 50 g almond slivers , 50 g breadcrumbs , 2/3 clove(s) of garlic , 1/2 teaspoon(s) vegetable bouillon powder , 1 tablespoon(s) tarragon , 50 g butter , 250 g lentils, boiled , 250 g basmati rice, boiled , 100 g cherry tomatoes , 2 tablespoon(s) olive oil , pepper , 1 teaspoon(s) vinegar , salt , 1 tablespoon(s) mint , 1 tablespoon(s) basil ",Meats
Greek Souvlaki Kebabs,"In a container add 5 tablespoons of white wine vinegar, 2 sprigs of rosemary and some sprigs of thyme. Soak the wooden skewers in this marinade for 1-2 hours so they won’t burn while the meat is cooking. They will also release a nice aroma while cooking (you can also use ,stainless steel skewers,).,Use a ,sharp knife, to help you remove the white membrane covering the top part of the pork loin. It is very important to remove this because it will remain tough no matter how long we cook it.,Cut the meat into equal sized pieces (2-3 cm thick). Cutting the meat in this ways helps the meat cook evenly.,Transfer to a deep ,baking pan, and set them aside.,Chop the onion into 4 pieces. Separate the onion layers and add them to the pan.,Finely chop the herbs (aromatics) and discard the stems. Add them to the pan.,Add 5 tablespoons of olive oil, 5 tablespoons of white wine vinegar, 2 cloves garlic, salt and pepper. Mix with a wooden spoon. You will notice that the color of the meat will turn white because of the vinegar. Set aside for at least 20 minutes. ,Then, thread the pieces of meat alternating with pieces of onion, onto the wooden skewers or the ,stainless steel skewers,.,Cook over a grill until they cook through and brown nicely and the onions are juicy and caramelized.,Serve with toasted ,pita bread,, tomatoes and ,tzatziki, sauce."," 800 g tenderloin , 1 onion, medium  , 4 sprig(s) rosemary , 3 sprig(s) thyme , 2 clove(s) of garlic, whole or crushed  , 5 tablespoon(s) olive oil , 5 tablespoon(s) vinegar, of white wine  , salt , pepper ,   ,souvlaki pita breads, ",Meats
Greek meatballs with yogurt ouzo sauce,"In a bowl, combine the yogurt, lemon zest, 1 tablespoon olive oil, mint, salt and pepper.,Add the ouzo, mix and set aside.,The yogurt has to be strained so that it can soak up the moisture of the rest of the ingredients.,In a bowl, add the water and the bread. Allow it to soak.,Wring the bread with your hands to remove all of the water and place in another bowl.,Add the ground pork, ground beef, eggs, parsley, oregano, garlic, onion, mint, cumin, pepper, salt and 3 tablespoons of olive oil. Mix thoroughly until all of the ingredients are completely combined.,It’s important to add enough salt at this time because you won’t be able to add more salt after frying.,Cover bowl with plastic wrap and refrigerate for 1 hour.,Place a ,pan, with sunflower oil over medium to high heat and let it get hot. You want to add enough sunflower oil so that it covers the meatballs while frying.,Shape the mixture into 20 balls (20-25 g each) and dredge them in the flour.,Tap to remove excess flour and add them to the hot oil in the pan in batches.,Fry for 2-3 minutes until golden and mix every so often.,When ready, remove from pan and transfer to paper towels so they can drain from excess oil.,Serve with ,fries,,, yogurt ouzo sauce and mint leaves."," 300 g strained yogurt , lemon zest, of 1 lemon  , 1 tablespoon(s) olive oil , 2 tablespoon(s) mint , salt , pepper , 30 g ouzo , 120 g bread, stale,cut into slices  , 250 g ground pork , 250 g ground beef , 2 eggs , 2 tablespoon(s) parsley , 1 tablespoon(s) oregano , 1 clove(s) of garlic , 1 onion , 1 tablespoon(s) mint , 1 teaspoon(s) cumin , pepper , 1 tablespoon(s) salt , 3 tablespoon(s) olive oil , all-purpose flour, for dredging , 1 liter sunflower oil ,   ,French fries, , mint leaves ",Meats
Sausage and potato bake,"Preheat the oven to 180,ο, C (350,ο, F) set to fan.,Place a ,frying pan, over high heat and add the olive oil.,Coarsely ,chop, the onions, cut the garlic into thin slices, and add them to the pan.,Add the potatoes cut in half, the rosemary, and mix.,Cut the carrots into half-moons and add them to the pan. Sauté all the vegetables for 2-3 minutes.,Add the mustard, the chicken bouillon cube, the water, the lemon juice, salt, pepper, and mix. ,Transfer to a 28x36 cm ,baking pan, and cover with aluminum foil. Bake for 1 hour.,Remove from the oven. Score the sausages on 2-3 spots and add them to the pan, on top of the vegetables.,Increase the oven’s temperature to 190,ο, C (370,ο, F) and bake for 20-25 minutes, uncovered.,Serve with feta cheese, oregano, and pepper."," 2 onions , 2 tablespoon(s) olive oil , 2 clove(s) of garlic , 1 kilo baby potatoes , 1 tablespoon(s) rosemary , 4 carrots , 1 tablespoon(s) mustard , 1 chicken bouillon cube , 200 g water , lemon juice, of 1 lemon , salt , pepper , 700 g sausages , feta cheese , oregano , pepper ",Meats
Pressure-cooker beef cheeks,"Place a pressure cooker over high heat.,With a ,knife,, remove the membrane your meat has and spread 2 tablespoons olive oil, salt, and pepper. Transfer to the pressure cooker and sauté for 2-3 minutes on both sides, until golden brown. Transfer to a plate and set aside.,Place the pressure cooker back on heat and add 2 tablespoons olive oil.,Cut the onion into large pieces, the celery into small pieces, and the carrot into half-moons. Transfer to the pressure cooker and sauté for 2-3 minutes.,Add the garlic finely chopped, the bay leaves, and sauté.,Cut the meat into pieces and add them to the pressure cooker. Add the flour, the wine, the tomato paste, the canned tomatoes, the water, the vegetable stock pot, and mix.,Cover with the lid, turn the safety valve to the proper pressure indicator, and simmer at low heat for 50-60 minutes.,Depressurize the pressure cooker and serve with mashed potatoes, olive oil, and oregano."," 1 kilo beef cheeks , 4 tablespoon(s) olive oil , salt , pepper , 1 onion , 2 stick(s) celery , 1 carrot , 2 clove(s) of garlic , 2 bay leaves , 1 tablespoon(s) all-purpose flour , 50 g red wine , 1 tablespoon(s) tomato paste , 400 g canned tomatoes , 500 g water , 2 tablespoon(s) vegetable stock pot , 500 g ,mashed potatoes, , olive oil , pepper , oregano ",Meats
Pressure-cooker pork neck with artichokes,"Place the pressure cooker over high heat.,Cut the pork into 2-3 cm pieces, add the olive oil, salt, pepper, and spread over the whole surface of the meat.,Transfer to the pressure cooker and sauté for 3-4 minutes until golden brown. Remove the pork and set it aside.,Cut the onion and the potatoes into large pieces, the garlic into slices, the leeks into small pieces, the carrots into half-moons, and add them to the pressure cooker. Sauté until golden.,Add the artichokes, deglaze with the wine, and add the lemon juice.,Add salt, pepper, the dill finely chopped, the pork, the water, and cover with the lid. Turn the safety valve to the proper pressure indicator and boil over medium heat for 40 minutes.,Depressurize the pressure cooker and serve with dill, lemon slices, olive oil, and pepper."," 1 1/2 kilo pork, neck , 2 tablespoon(s) olive oil , salt , pepper , 1 onion , 2 clove(s) of garlic , 800 g potatoes , 2 leeks , 2 carrots , 750 g artichokes , 100 g white wine , lemon juice, of 1 lemon , 1/2 bunch dill , 500 g water , dill , 1 lemon , olive oil , pepper ",Meats
